PROV,DISTRICT,NAHIA,VILLAGE,EA,EA_EXT,QSN,J01_USE_OF_HOUSE,J01A_TYPE_OF_HOUSE,JO2_MATERIAL_FLOOR,J03_COVER_FLOOR,J04_MATERIAL_WALL,J05_MATERIAL_ROOF,J06_NUM_ROOM,J07_NUM_ROOM_DISP,J08_NUM_ROOM_SLEEP,J09_ENERGY_COOKING,J10_ENERGY_LIGHTING,J11_ENERGY_HEATING,J12_WATER_DRINKING,J13_WATER_COOKING_ETC,J14_KIND_OF_TOILET,J15A_ELECTRICITY,J15B_RADIO,J15C_TV,J16B_MOBILE_PHONE,J15D_LANDLINE_PHONE,J15E_REF,J15F_WASHING_MACHINE,J15G_INTERNET,J16A_WATCH,J16C_COMPUTER,J16D_BICYCLE,J16E_MOTORCYCLE,J16F_CART,J16G_CAR,J16I_MOTORBOAT,J16H_GENERATOR,J17_OWN_LAND,J18_OWN_AGRILAND,J19_OWN_FARM_ANIMALS,J20A_CATTLE,J20B_HORSE,J20C_GOAT,J20D_SHEEP,J20E_CHICKEN,J20F_DUCKS,J21_TENURE_HOUSE
02,01,00,062,001,0,001,1,1,11,2,12,12,08,08,06,08,3,05,32,32,61,1,1,2,1,2,2,2,2,1,2,2,2,2,2,1,2,1,0024,1,03,01,04,97,10,00,1
02,01,00,062,001,0,003,1,1,11,4,12,13,10,04,03,08,4,05,42,42,13,1,1,2,1,2,2,2,2,1,1,1,1,2,2,2,1,1,0010,1,12,00,00,05,20,04,1
02,01,00,062,001,0,004,1,1,11,2,12,12,07,05,03,08,4,05,42,42,13,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,1,1,0005,1,04,00,00,03,10,00,1
02,01,00,062,001,0,005,1,1,11,2,12,12,02,01,01,08,1,05,42,42,61,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,0000,1,01,00,00,02,05,00,1
02,01,00,062,001,0,006,1,1,33,2,12,12,05,03,03,08,4,05,42,42,13,1,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,1,0005,1,03,00,00,00,10,00,1
02,01,00,062,001,0,007,1,1,33,2,12,12,03,03,02,08,4,05,42,42,13,1,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,    ,1,01,00,00,00,09,00,1
02,01,00,062,001,0,008,1,1,11,4,12,12,05,03,03,08,4,05,31,31,13,1,1,2,1,2,2,2,2,1,2,2,1,2,2,2,1,1,9998,1,10,00,00,03,15,06,1
02,01,00,062,001,0,009,1,1,11,2,12,12,02,01,01,08,4,05,42,42,13,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,1,0002,1,01,00,00,02,05,00,1
02,01,00,062,001,0,010,1,1,11,4,12,12,20,10,10,08,1,05,31,31,13,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,9998,1,15,00,00,00,20,00,1
02,01,00,062,001,0,012,1,1,11,3,12,13,07,04,04,08,4,05,32,32,13,1,1,2,1,2,2,2,2,1,2,1,2,2,2,2,2,1,0003,1,02,02,02,02,06,00,1
02,01,00,062,001,0,013,1,1,11,1,12,12,02,01,01,08,1,05,21,21,12,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,1,1,0000,2,  ,  ,  ,  ,  ,  ,1
02,01,00,062,001,0,014,1,1,11,2,12,12,04,02,02,10,4,08,21,81,13,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,0001,1,00,03,00,00,06,00,1
02,01,00,062,001,0,015,1,1,11,4,12,12,04,03,02,10,4,05,32,32,13,1,1,2,1,2,2,2,2,1,2,1,2,2,2,1,1,1,0003,1,02,00,00,00,08,00,1
02,01,00,062,001,0,016,1,1,11,1,12,12,03,02,02,10,1,08,42,42,99,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,    ,1,01,01,00,01,03,02,1
02,01,00,062,001,0,017,1,1,11,4,12,12,08,08,03,10,4,08,42,42,13,1,1,2,1,2,2,2,2,1,2,1,2,2,2,2,1,1,0008,1,02,02,00,08,10,00,1
02,01,00,062,001,0,018,1,1,11,1,12,12,03,02,01,10,1,08,81,81,14,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,0002,1,02,00,01,01,02,00,1
02,01,00,062,001,0,019,1,1,11,4,12,12,05,03,03,08,4,05,31,31,13,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,1,1,0003,1,02,02,00,00,05,00,1
02,01,00,062,001,0,021,1,1,11,2,12,12,05,02,02,08,1,05,81,81,13,2,1,2,1,2,2,2,2,1,2,1,2,2,2,2,2,1,0004,1,02,03,01,03,05,00,1
