age group,male,female,,
0-1,3779,"3,889",,
       1-4,"20,585","20,497",,
       5-9,"24,916","24,426",,
       10-14,"23,378","22,860",,
       15 - 19,"20,549","21,072",,
       20 - 24,"17,491","15,919",,
       25 - 29,"11,845","11,073",,
       30 - 34,"7,370","7,344",,
       35 - 39,"7,018","8,040",,
       40 - 44,"6,138","6,198",,
       45 - 49,"5,215","5,107",,
       50 - 54,"3,904","4,000",,
       55 - 59,"2,755","2,732",,
       60 - 64,"2,898","2,734",,
       65 - 69,"1,833","1,602",,
       70 - 74,"1,825","1,432",,
       75 - 79,846,496,,
       80 - 84,620,381,,
       85 and over,596,325,,
